generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
0,initial,-9751,500,149,0,92,0.298000,10.602000,20.144000,44.126000,1.749524,2.860552,1.609432,3.271551,0.897942,0.321719,trade_guild|shipyard|fire_plans|fort
1,learned,-7131,500,160,1,91,0.320000,10.504000,21.596000,43.528000,1.726291,2.890005,1.599502,3.238915,0.903045,0.355633,trade_guild|shipyard|fire_plans|fort
2,learned,-7542,500,156,1,93,0.312000,10.540000,21.278000,42.972000,1.678947,2.873096,1.606754,3.285551,0.866898,0.370394,trade_guild|shipyard|fire_plans|fort
3,kept,-7542,500,156,1,93,0.312000,10.540000,21.278000,42.972000,1.678947,2.873096,1.606754,3.285551,0.866898,0.370394,trade_guild|shipyard|fire_plans|fort
4,kept,-7542,500,156,1,93,0.312000,10.540000,21.278000,42.972000,1.678947,2.873096,1.606754,3.285551,0.866898,0.370394,trade_guild|shipyard|fire_plans|fort
5,learned,-9697,500,149,0,85,0.298000,10.718000,20.176000,43.840000,1.647952,2.832438,1.631298,3.277438,0.842554,0.401874,trade_guild|shipyard|fire_plans|fort
6,learned,-10844,500,145,0,89,0.290000,10.666000,20.702000,45.660000,1.620108,2.809880,1.645929,3.240763,0.841965,0.386767,trade_guild|shipyard|fire_plans|fort
7,learned,-9694,500,153,1,80,0.306000,10.828000,19.854000,44.622000,1.593678,2.807269,1.601196,3.272209,0.799867,0.367429,trade_guild|shipyard|fire_plans|fort
8,kept,-9694,500,153,1,80,0.306000,10.828000,19.854000,44.622000,1.593678,2.807269,1.601196,3.272209,0.799867,0.367429,trade_guild|shipyard|fire_plans|fort
9,learned,-8611,500,155,0,96,0.310000,10.682000,21.082000,44.584000,1.566001,2.798655,1.569263,3.293206,0.809874,0.399057,trade_guild|shipyard|fire_plans|fort
10,kept,-8611,500,155,0,96,0.310000,10.682000,21.082000,44.584000,1.566001,2.798655,1.569263,3.293206,0.809874,0.399057,trade_guild|shipyard|fire_plans|fort
11,learned,-5962,500,163,1,92,0.326000,10.740000,22.630000,43.094000,1.518721,2.822683,1.616989,3.333125,0.803451,0.410697,trade_guild|shipyard|fire_plans|fort
12,learned,-4018,500,173,1,97,0.346000,10.802000,22.876000,42.402000,1.475965,2.817037,1.618034,3.372602,0.804082,0.394520,trade_guild|shipyard|fire_plans|fort
13,kept,-4018,500,173,1,97,0.346000,10.802000,22.876000,42.402000,1.475965,2.817037,1.618034,3.372602,0.804082,0.394520,trade_guild|shipyard|fire_plans|fort
14,kept,-4018,500,173,1,97,0.346000,10.802000,22.876000,42.402000,1.475965,2.817037,1.618034,3.372602,0.804082,0.394520,trade_guild|shipyard|fire_plans|fort
15,learned,-6502,500,165,0,79,0.330000,10.876000,21.302000,42.876000,1.438866,2.789792,1.609064,3.373263,0.781004,0.378919,trade_guild|shipyard|fire_plans|fort
16,kept,-6502,500,165,0,79,0.330000,10.876000,21.302000,42.876000,1.438866,2.789792,1.609064,3.373263,0.781004,0.378919,trade_guild|shipyard|fire_plans|fort
17,kept,-6502,500,165,0,79,0.330000,10.876000,21.302000,42.876000,1.438866,2.789792,1.609064,3.373263,0.781004,0.378919,trade_guild|shipyard|fire_plans|fort
18,learned,-4484,500,172,0,93,0.344000,10.840000,22.040000,41.958000,1.403073,2.768923,1.649800,3.358650,0.762519,0.359973,trade_guild|shipyard|fire_plans|fort
19,kept,-4484,500,172,0,93,0.344000,10.840000,22.040000,41.958000,1.403073,2.768923,1.649800,3.358650,0.762519,0.359973,trade_guild|shipyard|fire_plans|fort
20,learned,5347,500,206,0,165,0.412000,10.548000,25.342000,37.278000,1.390240,2.779279,1.693867,3.317257,0.724393,0.359236,trade_guild|shipyard|fort
21,kept,5347,500,206,0,165,0.412000,10.548000,25.342000,37.278000,1.390240,2.779279,1.693867,3.317257,0.724393,0.359236,trade_guild|shipyard|fort
22,learned,19866,500,259,0,226,0.518000,10.510000,31.076000,30.644000,1.386761,2.780004,1.728452,3.279620,0.738174,0.341274,shipyard|fort
23,learned,38171,500,321,0,301,0.642000,9.858000,40.706000,23.274000,1.411512,2.752632,1.760398,3.254008,0.708584,0.324292,shipyard
24,kept,38171,500,321,0,301,0.642000,9.858000,40.706000,23.274000,1.411512,2.752632,1.760398,3.254008,0.708584,0.324292,shipyard
25,learned,39919,500,327,0,300,0.654000,9.904000,40.736000,21.458000,1.451800,2.718984,1.797044,3.283570,0.694021,0.358077,shipyard
26,learned,39506,500,328,0,301,0.656000,9.798000,40.626000,22.484000,1.480886,2.728396,1.785192,3.282417,0.709320,0.390173,shipyard
27,kept,39506,500,328,0,301,0.656000,9.798000,40.626000,22.484000,1.480886,2.728396,1.785192,3.282417,0.709320,0.390173,shipyard
28,learned,63787,500,408,0,399,0.816000,8.618000,53.746000,12.382000,1.444183,2.735143,1.829010,3.253814,0.714968,0.406806,
29,kept,63787,500,408,0,399,0.816000,8.618000,53.746000,12.382000,1.444183,2.735143,1.829010,3.253814,0.714968,0.406806,
30,kept,63787,500,408,0,399,0.816000,8.618000,53.746000,12.382000,1.444183,2.735143,1.829010,3.253814,0.714968,0.406806,
31,learned,65136,500,412,0,399,0.824000,8.850000,54.850000,11.908000,1.458174,2.774689,1.857733,3.269410,0.679220,0.425118,
32,kept,65136,500,412,0,399,0.824000,8.850000,54.850000,11.908000,1.458174,2.774689,1.857733,3.269410,0.679220,0.425118,
33,kept,65136,500,412,0,399,0.824000,8.850000,54.850000,11.908000,1.458174,2.774689,1.857733,3.269410,0.679220,0.425118,
34,learned,64874,500,412,1,401,0.824000,8.742000,53.690000,11.472000,1.446233,2.819562,1.878508,3.266160,0.695259,0.453862,
35,kept,64874,500,412,1,401,0.824000,8.742000,53.690000,11.472000,1.446233,2.819562,1.878508,3.266160,0.695259,0.453862,
36,learned,65574,500,413,0,407,0.826000,8.734000,54.974000,11.676000,1.442364,2.841946,1.834508,3.240397,0.710496,0.481169,
37,kept,65574,500,413,0,407,0.826000,8.734000,54.974000,11.676000,1.442364,2.841946,1.834508,3.240397,0.710496,0.481169,
38,kept,65574,500,413,0,407,0.826000,8.734000,54.974000,11.676000,1.442364,2.841946,1.834508,3.240397,0.710496,0.481169,
39,kept,65574,500,413,0,407,0.826000,8.734000,54.974000,11.676000,1.442364,2.841946,1.834508,3.240397,0.710496,0.481169,
40,learned,63427,500,406,0,399,0.812000,8.654000,53.600000,12.396000,1.490530,2.823247,1.853499,3.226103,0.723462,0.491644,
41,learned,63272,500,403,0,394,0.806000,8.786000,54.656000,12.772000,1.510417,2.783245,1.897825,3.206815,0.705753,0.517062,
42,kept,63272,500,403,0,394,0.806000,8.786000,54.656000,12.772000,1.510417,2.783245,1.897825,3.206815,0.705753,0.517062,
43,kept,63272,500,403,0,394,0.806000,8.786000,54.656000,12.772000,1.510417,2.783245,1.897825,3.206815,0.705753,0.517062,
44,learned,66321,500,416,0,404,0.832000,8.684000,55.700000,11.658000,1.557077,2.750516,1.945560,3.208226,0.678010,0.535614,
45,kept,66321,500,416,0,404,0.832000,8.684000,55.700000,11.658000,1.557077,2.750516,1.945560,3.208226,0.678010,0.535614,
46,kept,66321,500,416,0,404,0.832000,8.684000,55.700000,11.658000,1.557077,2.750516,1.945560,3.208226,0.678010,0.535614,
47,kept,66321,500,416,0,404,0.832000,8.684000,55.700000,11.658000,1.557077,2.750516,1.945560,3.208226,0.678010,0.535614,
48,kept,66321,500,416,0,404,0.832000,8.684000,55.700000,11.658000,1.557077,2.750516,1.945560,3.208226,0.678010,0.535614,
49,learned,66428,500,418,0,406,0.836000,8.640000,54.586000,10.950000,1.519199,2.739491,1.928494,3.250962,0.692314,0.535410,
50,kept,66428,500,418,0,406,0.836000,8.640000,54.586000,10.950000,1.519199,2.739491,1.928494,3.250962,0.692314,0.535410,
51,kept,66428,500,418,0,406,0.836000,8.640000,54.586000,10.950000,1.519199,2.739491,1.928494,3.250962,0.692314,0.535410,
52,learned,67426,500,421,0,418,0.842000,8.686000,54.876000,10.444000,1.553254,2.775818,1.904278,3.281542,0.657698,0.540048,
53,kept,67426,500,421,0,418,0.842000,8.686000,54.876000,10.444000,1.553254,2.775818,1.904278,3.281542,0.657698,0.540048,
54,kept,67426,500,421,0,418,0.842000,8.686000,54.876000,10.444000,1.553254,2.775818,1.904278,3.281542,0.657698,0.540048,
55,learned,68017,500,423,0,417,0.846000,8.778000,55.322000,10.238000,1.592045,2.811284,1.924512,3.310160,0.624813,0.563046,
56,kept,68017,500,423,0,417,0.846000,8.778000,55.322000,10.238000,1.592045,2.811284,1.924512,3.310160,0.624813,0.563046,
57,kept,68017,500,423,0,417,0.846000,8.778000,55.322000,10.238000,1.592045,2.811284,1.924512,3.310160,0.624813,0.563046,
58,learned,70741,500,434,0,420,0.868000,8.622000,56.192000,8.830000,1.619811,2.771944,1.926063,3.302893,0.593573,0.582553,
59,kept,70741,500,434,0,420,0.868000,8.622000,56.192000,8.830000,1.619811,2.771944,1.926063,3.302893,0.593573,0.582553,
60,kept,70741,500,434,0,420,0.868000,8.622000,56.192000,8.830000,1.619811,2.771944,1.926063,3.302893,0.593573,0.582553,
61,kept,70741,500,434,0,420,0.868000,8.622000,56.192000,8.830000,1.619811,2.771944,1.926063,3.302893,0.593573,0.582553,
62,kept,70741,500,434,0,420,0.868000,8.622000,56.192000,8.830000,1.619811,2.771944,1.926063,3.302893,0.593573,0.582553,
63,kept,70741,500,434,0,420,0.868000,8.622000,56.192000,8.830000,1.619811,2.771944,1.926063,3.302893,0.593573,0.582553,
64,kept,70741,500,434,0,420,0.868000,8.622000,56.192000,8.830000,1.619811,2.771944,1.926063,3.302893,0.593573,0.582553,
65,learned,63218,500,409,0,397,0.818000,8.822000,52.348000,12.342000,1.621069,2.789904,1.905252,3.305114,0.563894,0.580557,
66,learned,64875,500,416,0,407,0.832000,8.654000,53.000000,11.940000,1.579044,2.823625,1.907302,3.338935,0.585699,0.584459,
67,learned,65260,500,413,0,402,0.826000,8.700000,54.014000,11.194000,1.614068,2.783002,1.936838,3.354735,0.606414,0.605236,
68,kept,65260,500,413,0,402,0.826000,8.700000,54.014000,11.194000,1.614068,2.783002,1.936838,3.354735,0.606414,0.605236,
69,kept,65260,500,413,0,402,0.826000,8.700000,54.014000,11.194000,1.614068,2.783002,1.936838,3.354735,0.606414,0.605236,
70,kept,65260,500,413,0,402,0.826000,8.700000,54.014000,11.194000,1.614068,2.783002,1.936838,3.354735,0.606414,0.605236,
71,learned,66678,500,418,0,412,0.836000,8.864000,55.082000,11.126000,1.655921,2.821775,1.957597,3.351760,0.579517,0.586656,
72,learned,64643,500,415,0,403,0.830000,8.882000,53.154000,12.158000,1.692056,2.819489,1.913882,3.315206,0.552269,0.607323,
73,learned,66939,500,423,0,406,0.846000,8.830000,54.078000,10.820000,1.719827,2.771301,1.960708,3.268152,0.536719,0.614115,
74,kept,66939,500,423,0,406,0.846000,8.830000,54.078000,10.820000,1.719827,2.771301,1.960708,3.268152,0.536719,0.614115,
75,kept,66939,500,423,0,406,0.846000,8.830000,54.078000,10.820000,1.719827,2.771301,1.960708,3.268152,0.536719,0.614115,
76,learned,67779,500,422,0,409,0.844000,8.876000,55.232000,10.104000,1.722404,2.724058,1.985418,3.316630,0.509883,0.633409,
77,learned,65777,500,417,1,404,0.834000,8.748000,53.486000,10.952000,1.724456,2.765460,1.972693,3.346170,0.498502,0.637093,
78,kept,65777,500,417,1,404,0.834000,8.748000,53.486000,10.952000,1.724456,2.765460,1.972693,3.346170,0.498502,0.637093,
79,kept,65777,500,417,1,404,0.834000,8.748000,53.486000,10.952000,1.724456,2.765460,1.972693,3.346170,0.498502,0.637093,
80,kept,65777,500,417,1,404,0.834000,8.748000,53.486000,10.952000,1.724456,2.765460,1.972693,3.346170,0.498502,0.637093,
81,learned,66925,500,420,0,409,0.840000,8.874000,54.730000,10.750000,1.721958,2.800535,2.002895,3.299485,0.473577,0.655238,
82,kept,66925,500,420,0,409,0.840000,8.874000,54.730000,10.750000,1.721958,2.800535,2.002895,3.299485,0.473577,0.655238,
83,kept,66925,500,420,0,409,0.840000,8.874000,54.730000,10.750000,1.721958,2.800535,2.002895,3.299485,0.473577,0.655238,
84,learned,66816,500,424,0,400,0.848000,8.900000,53.722000,10.810000,1.680732,2.833600,1.957781,3.309394,0.479102,0.672477,
85,kept,66816,500,424,0,400,0.848000,8.900000,53.722000,10.810000,1.680732,2.833600,1.957781,3.309394,0.479102,0.672477,
86,kept,66816,500,424,0,400,0.848000,8.900000,53.722000,10.810000,1.680732,2.833600,1.957781,3.309394,0.479102,0.672477,
87,kept,66816,500,424,0,400,0.848000,8.900000,53.722000,10.810000,1.680732,2.833600,1.957781,3.309394,0.479102,0.672477,
88,learned,68311,500,427,0,414,0.854000,8.860000,54.776000,10.134000,1.643544,2.832174,1.940680,3.287622,0.460231,0.688853,
89,kept,68311,500,427,0,414,0.854000,8.860000,54.776000,10.134000,1.643544,2.832174,1.940680,3.287622,0.460231,0.688853,
90,learned,69931,500,433,0,413,0.866000,8.850000,55.286000,9.054000,1.666300,2.872028,1.897513,3.282407,0.461307,0.687692,
91,learned,68313,500,428,0,411,0.856000,8.834000,53.922000,9.466000,1.617177,2.906205,1.859039,3.289653,0.438242,0.701804,
92,kept,68313,500,428,0,411,0.856000,8.834000,53.922000,9.466000,1.617177,2.906205,1.859039,3.289653,0.438242,0.701804,
93,learned,71268,500,441,0,426,0.882000,8.724000,54.606000,8.330000,1.608865,2.882856,1.883772,3.315856,0.466330,0.716714,
94,kept,71268,500,441,0,426,0.882000,8.724000,54.606000,8.330000,1.608865,2.882856,1.883772,3.315856,0.466330,0.716714,
95,kept,71268,500,441,0,426,0.882000,8.724000,54.606000,8.330000,1.608865,2.882856,1.883772,3.315856,0.466330,0.716714,
96,kept,71268,500,441,0,426,0.882000,8.724000,54.606000,8.330000,1.608865,2.882856,1.883772,3.315856,0.466330,0.716714,
97,kept,71268,500,441,0,426,0.882000,8.724000,54.606000,8.330000,1.608865,2.882856,1.883772,3.315856,0.466330,0.716714,
98,kept,71268,500,441,0,426,0.882000,8.724000,54.606000,8.330000,1.608865,2.882856,1.883772,3.315856,0.466330,0.716714,
99,kept,71268,500,441,0,426,0.882000,8.724000,54.606000,8.330000,1.608865,2.882856,1.883772,3.315856,0.466330,0.716714,
100,kept,71268,500,441,0,426,0.882000,8.724000,54.606000,8.330000,1.608865,2.882856,1.883772,3.315856,0.466330,0.716714,
101,kept,71268,500,441,0,426,0.882000,8.724000,54.606000,8.330000,1.608865,2.882856,1.883772,3.315856,0.466330,0.716714,
102,learned,64933,500,416,0,405,0.832000,8.836000,51.998000,10.762000,1.562742,2.913559,1.855394,3.324030,0.443013,0.722207,
103,learned,69594,500,435,0,425,0.870000,8.612000,53.298000,8.660000,1.570304,2.930021,1.888133,3.355229,0.420863,0.736096,
104,kept,69594,500,435,0,425,0.870000,8.612000,53.298000,8.660000,1.570304,2.930021,1.888133,3.355229,0.420863,0.736096,
105,kept,69594,500,435,0,425,0.870000,8.612000,53.298000,8.660000,1.570304,2.930021,1.888133,3.355229,0.420863,0.736096,
106,kept,69594,500,435,0,425,0.870000,8.612000,53.298000,8.660000,1.570304,2.930021,1.888133,3.355229,0.420863,0.736096,
107,learned,69492,500,436,0,424,0.872000,8.812000,53.300000,9.116000,1.598936,2.889885,1.847286,3.361736,0.399819,0.749292,
108,kept,69492,500,436,0,424,0.872000,8.812000,53.300000,9.116000,1.598936,2.889885,1.847286,3.361736,0.399819,0.749292,
109,kept,69492,500,436,0,424,0.872000,8.812000,53.300000,9.116000,1.598936,2.889885,1.847286,3.361736,0.399819,0.749292,
110,kept,69492,500,436,0,424,0.872000,8.812000,53.300000,9.116000,1.598936,2.889885,1.847286,3.361736,0.399819,0.749292,
111,kept,69492,500,436,0,424,0.872000,8.812000,53.300000,9.116000,1.598936,2.889885,1.847286,3.361736,0.399819,0.749292,
112,kept,69492,500,436,0,424,0.872000,8.812000,53.300000,9.116000,1.598936,2.889885,1.847286,3.361736,0.399819,0.749292,
113,learned,64826,500,418,1,400,0.836000,8.810000,51.046000,10.574000,1.570194,2.857680,1.873288,3.356996,0.379828,0.747077,
114,kept,64826,500,418,1,400,0.836000,8.810000,51.046000,10.574000,1.570194,2.857680,1.873288,3.356996,0.379828,0.747077,
115,kept,64826,500,418,1,400,0.836000,8.810000,51.046000,10.574000,1.570194,2.857680,1.873288,3.356996,0.379828,0.747077,
116,learned,69195,500,434,0,419,0.868000,8.802000,53.264000,8.964000,1.553629,2.821025,1.890567,3.325491,0.360837,0.759723,
117,kept,69195,500,434,0,419,0.868000,8.802000,53.264000,8.964000,1.553629,2.821025,1.890567,3.325491,0.360837,0.759723,
118,kept,69195,500,434,0,419,0.868000,8.802000,53.264000,8.964000,1.553629,2.821025,1.890567,3.325491,0.360837,0.759723,
119,learned,65007,500,420,0,401,0.840000,8.964000,50.828000,10.444000,1.523959,2.869445,1.936375,3.297569,0.342795,0.771737,
120,kept,65007,500,420,0,401,0.840000,8.964000,50.828000,10.444000,1.523959,2.869445,1.936375,3.297569,0.342795,0.771737,
121,learned,68957,500,433,0,418,0.866000,8.876000,53.014000,8.880000,1.525881,2.867141,1.896541,3.293895,0.325655,0.733150,
122,kept,68957,500,433,0,418,0.866000,8.876000,53.014000,8.880000,1.525881,2.867141,1.896541,3.293895,0.325655,0.733150,
123,learned,71388,500,443,0,422,0.886000,8.858000,53.668000,7.592000,1.509573,2.856190,1.898396,3.281905,0.309373,0.746492,
124,kept,71388,500,443,0,422,0.886000,8.858000,53.668000,7.592000,1.509573,2.856190,1.898396,3.281905,0.309373,0.746492,
125,kept,71388,500,443,0,422,0.886000,8.858000,53.668000,7.592000,1.509573,2.856190,1.898396,3.281905,0.309373,0.746492,
126,kept,71388,500,443,0,422,0.886000,8.858000,53.668000,7.592000,1.509573,2.856190,1.898396,3.281905,0.309373,0.746492,
127,kept,71388,500,443,0,422,0.886000,8.858000,53.668000,7.592000,1.509573,2.856190,1.898396,3.281905,0.309373,0.746492,
128,learned,72808,500,451,0,431,0.902000,8.734000,53.186000,6.780000,1.548746,2.858874,1.859151,3.248035,0.293904,0.759168,
129,kept,72808,500,451,0,431,0.902000,8.734000,53.186000,6.780000,1.548746,2.858874,1.859151,3.248035,0.293904,0.759168,
130,learned,70342,500,442,0,413,0.884000,9.048000,52.948000,8.414000,1.566997,2.859013,1.894942,3.203003,0.279209,0.771209,
131,learned,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
132,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
133,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
134,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
135,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
136,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
137,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
138,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
139,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
140,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
141,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
142,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
143,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
144,kept,72278,500,449,0,435,0.898000,8.804000,52.766000,6.980000,1.534287,2.855342,1.902075,3.222199,0.265248,0.773094,
145,learned,70340,500,441,0,420,0.882000,8.968000,52.350000,7.750000,1.491119,2.845075,1.872583,3.268964,0.251986,0.784439,
146,kept,70340,500,441,0,420,0.882000,8.968000,52.350000,7.750000,1.491119,2.845075,1.872583,3.268964,0.251986,0.784439,
147,learned,71205,500,445,0,428,0.890000,8.826000,52.082000,7.112000,1.447228,2.859752,1.881361,3.220979,0.239387,0.795217,
148,kept,71205,500,445,0,428,0.890000,8.826000,52.082000,7.112000,1.447228,2.859752,1.881361,3.220979,0.239387,0.795217,
149,kept,71205,500,445,0,428,0.890000,8.826000,52.082000,7.112000,1.447228,2.859752,1.881361,3.220979,0.239387,0.795217,
150,kept,71205,500,445,0,428,0.890000,8.826000,52.082000,7.112000,1.447228,2.859752,1.881361,3.220979,0.239387,0.795217,
151,learned,69142,500,439,0,419,0.878000,8.884000,50.872000,8.078000,1.408035,2.847134,1.858429,3.252098,0.246666,0.787110,
152,kept,69142,500,439,0,419,0.878000,8.884000,50.872000,8.078000,1.408035,2.847134,1.858429,3.252098,0.246666,0.787110,
153,kept,69142,500,439,0,419,0.878000,8.884000,50.872000,8.078000,1.408035,2.847134,1.858429,3.252098,0.246666,0.787110,
154,kept,69142,500,439,0,419,0.878000,8.884000,50.872000,8.078000,1.408035,2.847134,1.858429,3.252098,0.246666,0.787110,
155,kept,69142,500,439,0,419,0.878000,8.884000,50.872000,8.078000,1.408035,2.847134,1.858429,3.252098,0.246666,0.787110,
156,kept,69142,500,439,0,419,0.878000,8.884000,50.872000,8.078000,1.408035,2.847134,1.858429,3.252098,0.246666,0.787110,
157,learned,72108,500,450,0,426,0.900000,8.836000,52.250000,6.814000,1.393280,2.823502,1.897563,3.290491,0.234333,0.797754,
