generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-45915,1400,342,2,177,0.244286,9.815714,19.265000,48.257857,0.312143,0.278571,0.285000,0.235714,0.116429,0.098571,0.897143,2.561429,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
1,kept,-45915,1400,342,2,177,0.244286,9.815714,19.265000,48.257857,0.312143,0.278571,0.285000,0.235714,0.116429,0.098571,0.897143,2.561429,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
2,learned,-37442,1400,367,1,209,0.262143,9.790714,19.615714,45.349286,0.267857,0.244286,0.188571,0.156429,0.097143,0.081429,0.902143,2.520000,2.260860,3.784915,1.896965,1.190748,0.752399,0.290983,0.472439,0.279866,0.092265,0.790775,0.989420,0.816709,guard_captain|fort|shipyard
3,kept,-37442,1400,367,1,209,0.262143,9.790714,19.615714,45.349286,0.267857,0.244286,0.188571,0.156429,0.097143,0.081429,0.902143,2.520000,2.260860,3.784915,1.896965,1.190748,0.752399,0.290983,0.472439,0.279866,0.092265,0.790775,0.989420,0.816709,guard_captain|fort|shipyard
4,learned,-25381,1400,409,1,268,0.292143,9.580714,22.707857,44.658571,0.319286,0.302143,0.140714,0.128571,0.084286,0.075000,0.753571,1.808571,2.294084,3.970120,2.007054,1.019401,0.839060,0.506967,0.586887,0.181913,0.059972,0.549409,0.993123,0.880861,guard_captain|fort|shipyard
5,kept,-25381,1400,409,1,268,0.292143,9.580714,22.707857,44.658571,0.319286,0.302143,0.140714,0.128571,0.084286,0.075000,0.753571,1.808571,2.294084,3.970120,2.007054,1.019401,0.839060,0.506967,0.586887,0.181913,0.059972,0.549409,0.993123,0.880861,guard_captain|fort|shipyard
6,kept,-25381,1400,409,1,268,0.292143,9.580714,22.707857,44.658571,0.319286,0.302143,0.140714,0.128571,0.084286,0.075000,0.753571,1.808571,2.294084,3.970120,2.007054,1.019401,0.839060,0.506967,0.586887,0.181913,0.059972,0.549409,0.993123,0.880861,guard_captain|fort|shipyard
7,kept,-25381,1400,409,1,268,0.292143,9.580714,22.707857,44.658571,0.319286,0.302143,0.140714,0.128571,0.084286,0.075000,0.753571,1.808571,2.294084,3.970120,2.007054,1.019401,0.839060,0.506967,0.586887,0.181913,0.059972,0.549409,0.993123,0.880861,guard_captain|fort|shipyard
8,kept,-25381,1400,409,1,268,0.292143,9.580714,22.707857,44.658571,0.319286,0.302143,0.140714,0.128571,0.084286,0.075000,0.753571,1.808571,2.294084,3.970120,2.007054,1.019401,0.839060,0.506967,0.586887,0.181913,0.059972,0.549409,0.993123,0.880861,guard_captain|fort|shipyard
9,learned,-16068,1400,445,2,289,0.317857,9.740714,22.845714,42.019286,0.321429,0.295000,0.231429,0.201429,0.044286,0.036429,0.834286,2.238571,2.238864,4.097890,1.995774,1.088434,0.740390,0.679529,0.464688,0.274405,0.038982,0.666568,0.995530,0.645277,guard_captain|fort|shipyard
