generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-39597,1400,330,1,87,0.235714,9.869286,37.197857,59.463571,0.285714,0.258571,0.308571,0.255714,0.052143,0.033571,0.957143,0.918571,6.350714,0.714286,2.050000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
1,kept,-39597,1400,330,1,87,0.235714,9.869286,37.197857,59.463571,0.285714,0.258571,0.308571,0.255714,0.052143,0.033571,0.957143,0.918571,6.350714,0.714286,2.050000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
2,learned,754,1400,407,0,89,0.290714,10.078571,52.342857,53.457857,0.282857,0.237857,0.295714,0.236429,0.022143,0.013571,0.911429,0.862143,13.252143,0.795000,2.350714,2.120977,3.926820,2.320128,1.516388,0.687518,0.591362,0.430054,0.298985,0.092265,0.636637,0.752605,0.873292,0.989420,0.668478,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
3,learned,22220,1400,471,3,117,0.336429,10.432857,55.989286,48.621429,0.280000,0.235000,0.355714,0.297857,0.025714,0.012857,0.935000,0.882143,13.215714,0.796429,2.509286,2.093612,3.940784,2.245296,1.715787,0.463705,0.393155,0.346603,0.428938,0.059972,0.721161,0.689553,0.915625,0.993123,0.728705,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
4,kept,22220,1400,471,3,117,0.336429,10.432857,55.989286,48.621429,0.280000,0.235000,0.355714,0.297857,0.025714,0.012857,0.935000,0.882143,13.215714,0.796429,2.509286,2.093612,3.940784,2.245296,1.715787,0.463705,0.393155,0.346603,0.428938,0.059972,0.721161,0.689553,0.915625,0.993123,0.728705,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
5,kept,22220,1400,471,3,117,0.336429,10.432857,55.989286,48.621429,0.280000,0.235000,0.355714,0.297857,0.025714,0.012857,0.935000,0.882143,13.215714,0.796429,2.509286,2.093612,3.940784,2.245296,1.715787,0.463705,0.393155,0.346603,0.428938,0.059972,0.721161,0.689553,0.915625,0.993123,0.728705,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
6,kept,22220,1400,471,3,117,0.336429,10.432857,55.989286,48.621429,0.280000,0.235000,0.355714,0.297857,0.025714,0.012857,0.935000,0.882143,13.215714,0.796429,2.509286,2.093612,3.940784,2.245296,1.715787,0.463705,0.393155,0.346603,0.428938,0.059972,0.721161,0.689553,0.915625,0.993123,0.728705,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
7,kept,22220,1400,471,3,117,0.336429,10.432857,55.989286,48.621429,0.280000,0.235000,0.355714,0.297857,0.025714,0.012857,0.935000,0.882143,13.215714,0.796429,2.509286,2.093612,3.940784,2.245296,1.715787,0.463705,0.393155,0.346603,0.428938,0.059972,0.721161,0.689553,0.915625,0.993123,0.728705,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
8,learned,27234,1400,486,2,127,0.347143,10.552857,55.125714,45.733571,0.222857,0.179286,0.342143,0.277143,0.015714,0.011429,0.957857,0.916429,13.108571,0.789286,2.579286,2.207968,3.802179,2.253159,1.505266,0.374491,0.561895,0.225292,0.404905,0.038982,0.818755,0.686800,0.945156,0.750806,0.804281,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
9,learned,27543,1400,487,5,184,0.347857,10.393571,53.235000,44.482857,0.188571,0.150000,0.290000,0.235714,0.011429,0.006429,0.933571,0.890714,11.853571,0.785714,2.510714,2.035822,3.882045,2.273236,1.379046,0.458227,0.620600,0.171681,0.284797,0.025338,0.669004,0.603951,0.891809,0.743265,0.872783,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
