generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-355081,1500,313,2,72,851,0.208667,9.846000,33.819333,88.049333,0.252667,0.218000,0.290000,0.248000,0.032000,0.020667,0.954667,0.915333,5.683333,0.726000,1.946000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
1,kept,-355081,1500,313,2,72,851,0.208667,9.846000,33.819333,88.049333,0.252667,0.218000,0.290000,0.248000,0.032000,0.020667,0.954667,0.915333,5.683333,0.726000,1.946000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
2,kept,-355081,1500,313,2,72,851,0.208667,9.846000,33.819333,88.049333,0.252667,0.218000,0.290000,0.248000,0.032000,0.020667,0.954667,0.915333,5.683333,0.726000,1.946000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
3,kept,-355081,1500,313,2,72,851,0.208667,9.846000,33.819333,88.049333,0.252667,0.218000,0.290000,0.248000,0.032000,0.020667,0.954667,0.915333,5.683333,0.726000,1.946000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
4,kept,-355081,1500,313,2,72,851,0.208667,9.846000,33.819333,88.049333,0.252667,0.218000,0.290000,0.248000,0.032000,0.020667,0.954667,0.915333,5.683333,0.726000,1.946000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
5,learned,-331424,1500,350,0,154,860,0.233333,9.904667,36.577333,81.118667,0.282667,0.248000,0.184000,0.150000,0.036667,0.030000,0.776000,0.750667,6.015333,0.855333,2.057333,2.157770,4.108709,2.127247,1.146336,0.835654,0.483099,0.780054,0.279866,0.092265,0.912055,0.457164,0.843822,0.989420,0.880705,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
6,kept,-331424,1500,350,0,154,860,0.233333,9.904667,36.577333,81.118667,0.282667,0.248000,0.184000,0.150000,0.036667,0.030000,0.776000,0.750667,6.015333,0.855333,2.057333,2.157770,4.108709,2.127247,1.146336,0.835654,0.483099,0.780054,0.279866,0.092265,0.912055,0.457164,0.843822,0.989420,0.880705,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
7,kept,-331424,1500,350,0,154,860,0.233333,9.904667,36.577333,81.118667,0.282667,0.248000,0.184000,0.150000,0.036667,0.030000,0.776000,0.750667,6.015333,0.855333,2.057333,2.157770,4.108709,2.127247,1.146336,0.835654,0.483099,0.780054,0.279866,0.092265,0.912055,0.457164,0.843822,0.989420,0.880705,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
8,learned,-330790,1500,352,1,142,863,0.234667,9.864667,42.143333,81.197333,0.304000,0.266667,0.136667,0.112667,0.106000,0.082000,0.752000,0.720000,7.944000,0.777333,1.699333,2.166043,4.241627,2.267736,0.957862,0.893175,0.623266,0.857035,0.181913,0.308517,0.864156,0.533408,0.694200,0.993123,0.784553,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
9,learned,-306764,1500,383,1,115,823,0.255333,10.142667,48.868000,71.316667,0.282000,0.236667,0.103333,0.072000,0.168000,0.117333,0.786667,0.748667,10.988000,0.824000,1.811333,1.997721,4.092181,2.413646,0.883628,0.660066,0.405123,0.907073,0.157953,0.547691,0.911701,0.615457,0.760370,0.995530,0.859960,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
