generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-415974,1600,281,3,81,938,0.175625,9.808125,34.915000,105.398125,0.253125,0.225625,0.301875,0.267500,0.049375,0.036250,0.938750,0.877500,5.627500,0.861875,2.231250,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
1,learned,-376266,1600,338,1,96,887,0.211250,9.871875,46.534375,101.342500,0.250000,0.223750,0.331875,0.301250,0.028125,0.021250,0.859375,0.810000,9.848750,0.890625,2.477500,1.850065,3.929002,2.224210,1.320203,0.898550,0.602545,0.458123,0.333248,0.092265,0.647022,0.752605,0.873292,0.989420,0.771156,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
2,kept,-376266,1600,338,1,96,887,0.211250,9.871875,46.534375,101.342500,0.250000,0.223750,0.331875,0.301250,0.028125,0.021250,0.859375,0.810000,9.848750,0.890625,2.477500,1.850065,3.929002,2.224210,1.320203,0.898550,0.602545,0.458123,0.333248,0.092265,0.647022,0.752605,0.873292,0.989420,0.771156,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
3,kept,-376266,1600,338,1,96,887,0.211250,9.871875,46.534375,101.342500,0.250000,0.223750,0.331875,0.301250,0.028125,0.021250,0.859375,0.810000,9.848750,0.890625,2.477500,1.850065,3.929002,2.224210,1.320203,0.898550,0.602545,0.458123,0.333248,0.092265,0.647022,0.752605,0.873292,0.989420,0.771156,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
4,learned,-369191,1600,346,1,55,865,0.216250,10.040625,50.896875,95.355000,0.221875,0.192500,0.365000,0.335000,0.019375,0.016250,0.876250,0.830000,13.516875,0.871875,2.399375,1.894293,3.943201,2.088625,1.311154,0.748994,0.684123,0.297780,0.422454,0.059972,0.696028,0.839193,0.862743,0.993123,0.645409,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
5,learned,-303564,1600,437,2,87,799,0.273125,10.160625,62.628125,77.861875,0.185000,0.154375,0.315000,0.266250,0.015000,0.013750,0.857500,0.820000,19.193750,0.865625,2.365625,1.724105,3.776739,2.325360,1.546141,0.518923,0.523595,0.203030,0.274595,0.046666,0.555183,0.895476,0.721325,0.995530,0.619982,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
6,kept,-303564,1600,437,2,87,799,0.273125,10.160625,62.628125,77.861875,0.185000,0.154375,0.315000,0.266250,0.015000,0.013750,0.857500,0.820000,19.193750,0.865625,2.365625,1.724105,3.776739,2.325360,1.546141,0.518923,0.523595,0.203030,0.274595,0.046666,0.555183,0.895476,0.721325,0.995530,0.619982,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
7,kept,-303564,1600,437,2,87,799,0.273125,10.160625,62.628125,77.861875,0.185000,0.154375,0.315000,0.266250,0.015000,0.013750,0.857500,0.820000,19.193750,0.865625,2.365625,1.724105,3.776739,2.325360,1.546141,0.518923,0.523595,0.203030,0.274595,0.046666,0.555183,0.895476,0.721325,0.995530,0.619982,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
8,kept,-303564,1600,437,2,87,799,0.273125,10.160625,62.628125,77.861875,0.185000,0.154375,0.315000,0.266250,0.015000,0.013750,0.857500,0.820000,19.193750,0.865625,2.365625,1.724105,3.776739,2.325360,1.546141,0.518923,0.523595,0.203030,0.274595,0.046666,0.555183,0.895476,0.721325,0.995530,0.619982,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
9,learned,-289995,1600,464,1,89,811,0.290000,10.135625,67.191250,80.505625,0.163750,0.137500,0.259375,0.226250,0.054375,0.046875,0.796875,0.759375,21.733750,0.773750,1.948750,1.645581,3.535944,2.172359,1.421486,0.583915,0.346343,0.149208,0.178487,0.117395,0.360869,0.922488,0.489328,0.997094,0.714587,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
