generation,status,fitness,games,wins,draws,port_wins,port_losses,stomp_penalty,matchup_floor_penalty,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-549394,1600,287,3,84,923,0,139300,0.000000,0.179375,9.844375,36.156875,106.473125,0.269375,0.241250,0.305000,0.271875,0.053125,0.039375,0.936875,0.876250,5.826250,0.859375,2.262500,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
1,learned,-498439,1600,353,2,90,902,0,129850,0.010000,0.220625,9.886875,46.400000,99.056250,0.261875,0.233125,0.333750,0.295625,0.035000,0.028125,0.885000,0.825625,9.902500,0.895000,2.504375,1.850065,3.929002,2.224210,1.320203,0.898550,0.602545,0.458123,0.333248,0.092265,0.647022,0.752605,0.873292,0.989420,0.771156,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
2,learned,-483724,1600,366,1,112,840,0,130550,0.000000,0.228750,9.915000,41.053125,94.709375,0.211875,0.191250,0.414375,0.388125,0.020000,0.015000,0.778125,0.744375,6.879375,0.886875,2.560625,1.651635,3.739851,2.365504,1.280958,0.934058,0.642198,0.297780,0.450925,0.059972,0.483359,0.624752,0.917640,0.993123,0.851252,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
3,learned,-470651,1600,385,1,86,867,0,125300,0.010000,0.240625,9.775625,52.801875,99.778750,0.203750,0.171875,0.354375,0.318125,0.048125,0.036875,0.849375,0.805625,12.271250,0.896250,2.577500,1.478929,3.610657,2.401308,1.515625,0.957137,0.462191,0.261371,0.377980,0.125344,0.549186,0.756089,0.899548,0.995530,0.849014,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
4,learned,-434495,1600,431,0,170,924,320,113050,0.020000,0.269375,9.570625,51.459375,79.431250,0.218125,0.187500,0.109375,0.084375,0.045000,0.038125,0.774375,0.737500,12.005625,0.936250,2.862500,1.448393,3.780059,2.619136,1.674426,0.853246,0.300424,0.247594,0.245687,0.081474,0.356971,0.697262,0.934706,0.904161,0.682003,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
5,learned,-333681,1600,542,2,189,809,640,94150,0.030000,0.338750,9.881250,72.864375,69.288125,0.212500,0.186875,0.109375,0.082500,0.040625,0.037500,0.818125,0.782500,21.681250,0.924375,2.998750,1.336469,3.576260,2.742794,1.724084,0.697844,0.537219,0.160936,0.289077,0.052958,0.432191,0.803220,0.957559,0.754175,0.459624,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
6,kept,-333681,1600,542,2,189,809,640,94150,0.030000,0.338750,9.881250,72.864375,69.288125,0.212500,0.186875,0.109375,0.082500,0.040625,0.037500,0.818125,0.782500,21.681250,0.924375,2.998750,1.336469,3.576260,2.742794,1.724084,0.697844,0.537219,0.160936,0.289077,0.052958,0.432191,0.803220,0.957559,0.754175,0.459624,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
7,learned,-331042,1600,540,1,330,811,1780,92400,0.000000,0.337500,9.675000,42.252500,71.915000,0.144375,0.120000,0.126250,0.106250,0.088125,0.081875,0.675000,0.656250,7.181875,0.892500,2.649375,1.496505,3.678796,2.799140,1.765696,0.803598,0.654313,0.104608,0.187900,0.074595,0.280924,0.593179,0.740967,0.565608,0.648756,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
8,kept,-331042,1600,540,1,330,811,1780,92400,0.000000,0.337500,9.675000,42.252500,71.915000,0.144375,0.120000,0.126250,0.106250,0.088125,0.081875,0.675000,0.656250,7.181875,0.892500,2.649375,1.496505,3.678796,2.799140,1.765696,0.803598,0.654313,0.104608,0.187900,0.074595,0.280924,0.593179,0.740967,0.565608,0.648756,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
9,kept,-331042,1600,540,1,330,811,1780,92400,0.000000,0.337500,9.675000,42.252500,71.915000,0.144375,0.120000,0.126250,0.106250,0.088125,0.081875,0.675000,0.656250,7.181875,0.892500,2.649375,1.496505,3.678796,2.799140,1.765696,0.803598,0.654313,0.104608,0.187900,0.074595,0.280924,0.593179,0.740967,0.565608,0.648756,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
