generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-55549,170,31,0,14,96,0,12769,0,0.000000,0.182353,10.041176,24.223529,87.947059,0.517647,0.505882,0.247059,0.211765,0.282353,0.217647,0.429412,0.405882,0.623529,0.564706,0.964706,2.167572,4.000102,2.664507,0.400769,0.455946,0.047888,0.932962,0.947078,0.335351,0.203870,0.178461,0.309406,0.768018,0.188595,shipyard|fishing_boat|trade_guild|fire_plans|guard_captain
1,kept,-55549,170,31,0,14,96,0,12769,0,0.000000,0.182353,10.041176,24.223529,87.947059,0.517647,0.505882,0.247059,0.211765,0.282353,0.217647,0.429412,0.405882,0.623529,0.564706,0.964706,2.167572,4.000102,2.664507,0.400769,0.455946,0.047888,0.932962,0.947078,0.335351,0.203870,0.178461,0.309406,0.768018,0.188595,shipyard|fishing_boat|trade_guild|fire_plans|guard_captain
2,kept,-55549,170,31,0,14,96,0,12769,0,0.000000,0.182353,10.041176,24.223529,87.947059,0.517647,0.505882,0.247059,0.211765,0.282353,0.217647,0.429412,0.405882,0.623529,0.564706,0.964706,2.167572,4.000102,2.664507,0.400769,0.455946,0.047888,0.932962,0.947078,0.335351,0.203870,0.178461,0.309406,0.768018,0.188595,shipyard|fishing_boat|trade_guild|fire_plans|guard_captain
3,learned,-54402,170,35,0,11,100,132,13119,0,0.000000,0.205882,10.094118,24.652941,79.470588,0.582353,0.570588,0.300000,0.229412,0.229412,0.194118,0.323529,0.311765,1.058824,0.541176,0.900000,2.198145,4.152140,2.523865,0.290105,0.387988,0.061044,0.954414,0.964013,0.228039,0.138631,0.256471,0.267814,0.667231,0.128245,shipyard|fishing_boat|trade_guild|fire_plans|guard_captain
4,learned,-53899,170,32,0,14,94,0,12069,0,0.000000,0.188235,10.352941,24.688235,72.258824,0.605882,0.600000,0.252941,0.217647,0.205882,0.164706,0.264706,0.264706,0.635294,0.700000,1.370588,2.120844,4.062571,2.593504,0.343882,0.263832,0.075461,0.969002,0.816472,0.161307,0.094269,0.174400,0.397216,0.773717,0.263962,shipyard|fishing_boat|trade_guild|fire_plans|guard_captain
5,learned,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
6,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
7,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
8,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
9,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
10,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
11,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
12,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
13,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
14,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
