generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,port_loss_pressure_penalty,survival_infra_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-64600,170,25,0,11,100,0,13470,0,8000,3676,0.000000,0.147059,10.011765,24.282353,88.570588,0.535294,0.523529,0.258824,0.188235,0.358824,0.276471,0.476471,0.429412,1.029412,0.547059,0.923529,2.167572,4.000102,2.664507,0.400769,0.455946,0.047888,0.932962,0.947078,0.335351,0.203870,0.178461,0.309406,0.768018,0.188595,shipyard|fishing_boat|trade_guild|fire_plans|guard_captain
1,kept,-64600,170,25,0,11,100,0,13470,0,8000,3676,0.000000,0.147059,10.011765,24.282353,88.570588,0.535294,0.523529,0.258824,0.188235,0.358824,0.276471,0.476471,0.429412,1.029412,0.547059,0.923529,2.167572,4.000102,2.664507,0.400769,0.455946,0.047888,0.932962,0.947078,0.335351,0.203870,0.178461,0.309406,0.768018,0.188595,shipyard|fishing_boat|trade_guild|fire_plans|guard_captain
2,learned,-61534,170,28,0,6,96,0,12943,0,7680,4016,0.000000,0.164706,10.358824,22.670588,71.294118,0.470588,0.452941,0.200000,0.158824,0.370588,0.311765,0.400000,0.400000,0.658824,0.723529,1.423529,2.148396,4.248286,2.829731,0.370679,0.297653,0.026338,0.963129,0.970893,0.367582,0.121769,0.102696,0.377097,0.845086,0.371134,guard_captain|fishing_boat|trade_guild|fire_plans|shipyard
3,learned,-51064,170,39,0,9,93,25,10494,0,7440,4584,0.000000,0.229412,10.382353,23.623529,63.311765,0.517647,0.500000,0.241176,0.205882,0.247059,0.188235,0.564706,0.558824,0.976471,0.694118,1.605882,1.850034,4.416203,2.667210,0.549467,0.221008,0.156506,0.979721,0.983991,0.202170,0.195984,0.056483,0.433812,0.603850,0.204124,guard_captain|fishing_boat|fire_plans|trade_guild|shipyard
4,kept,-51064,170,39,0,9,93,25,10494,0,7440,4584,0.000000,0.229412,10.382353,23.623529,63.311765,0.517647,0.500000,0.241176,0.205882,0.247059,0.188235,0.564706,0.558824,0.976471,0.694118,1.605882,1.850034,4.416203,2.667210,0.549467,0.221008,0.156506,0.979721,0.983991,0.202170,0.195984,0.056483,0.433812,0.603850,0.204124,guard_captain|fishing_boat|fire_plans|trade_guild|shipyard
5,kept,-51064,170,39,0,9,93,25,10494,0,7440,4584,0.000000,0.229412,10.382353,23.623529,63.311765,0.517647,0.500000,0.241176,0.205882,0.247059,0.188235,0.564706,0.558824,0.976471,0.694118,1.605882,1.850034,4.416203,2.667210,0.549467,0.221008,0.156506,0.979721,0.983991,0.202170,0.195984,0.056483,0.433812,0.603850,0.204124,guard_captain|fishing_boat|fire_plans|trade_guild|shipyard
6,kept,-51064,170,39,0,9,93,25,10494,0,7440,4584,0.000000,0.229412,10.382353,23.623529,63.311765,0.517647,0.500000,0.241176,0.205882,0.247059,0.188235,0.564706,0.558824,0.976471,0.694118,1.605882,1.850034,4.416203,2.667210,0.549467,0.221008,0.156506,0.979721,0.983991,0.202170,0.195984,0.056483,0.433812,0.603850,0.204124,guard_captain|fishing_boat|fire_plans|trade_guild|shipyard
7,kept,-51064,170,39,0,9,93,25,10494,0,7440,4584,0.000000,0.229412,10.382353,23.623529,63.311765,0.517647,0.500000,0.241176,0.205882,0.247059,0.188235,0.564706,0.558824,0.976471,0.694118,1.605882,1.850034,4.416203,2.667210,0.549467,0.221008,0.156506,0.979721,0.983991,0.202170,0.195984,0.056483,0.433812,0.603850,0.204124,guard_captain|fishing_boat|fire_plans|trade_guild|shipyard
8,kept,-51064,170,39,0,9,93,25,10494,0,7440,4584,0.000000,0.229412,10.382353,23.623529,63.311765,0.517647,0.500000,0.241176,0.205882,0.247059,0.188235,0.564706,0.558824,0.976471,0.694118,1.605882,1.850034,4.416203,2.667210,0.549467,0.221008,0.156506,0.979721,0.983991,0.202170,0.195984,0.056483,0.433812,0.603850,0.204124,guard_captain|fishing_boat|fire_plans|trade_guild|shipyard
9,kept,-51064,170,39,0,9,93,25,10494,0,7440,4584,0.000000,0.229412,10.382353,23.623529,63.311765,0.517647,0.500000,0.241176,0.205882,0.247059,0.188235,0.564706,0.558824,0.976471,0.694118,1.605882,1.850034,4.416203,2.667210,0.549467,0.221008,0.156506,0.979721,0.983991,0.202170,0.195984,0.056483,0.433812,0.603850,0.204124,guard_captain|fishing_boat|fire_plans|trade_guild|shipyard
10,kept,-51064,170,39,0,9,93,25,10494,0,7440,4584,0.000000,0.229412,10.382353,23.623529,63.311765,0.517647,0.500000,0.241176,0.205882,0.247059,0.188235,0.564706,0.558824,0.976471,0.694118,1.605882,1.850034,4.416203,2.667210,0.549467,0.221008,0.156506,0.979721,0.983991,0.202170,0.195984,0.056483,0.433812,0.603850,0.204124,guard_captain|fishing_boat|fire_plans|trade_guild|shipyard
11,learned,-45394,170,43,1,14,78,0,10670,0,6240,4420,0.000000,0.252941,10.617647,25.482353,52.905882,0.576471,0.541176,0.258824,0.182353,0.229412,0.141176,0.617647,0.611765,1.435294,0.705882,1.441176,1.811127,4.658839,2.695986,0.550474,0.121554,0.313477,0.661703,0.991195,0.287455,0.308562,0.330285,0.328362,0.782117,0.112268,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
12,kept,-45394,170,43,1,14,78,0,10670,0,6240,4420,0.000000,0.252941,10.617647,25.482353,52.905882,0.576471,0.541176,0.258824,0.182353,0.229412,0.141176,0.617647,0.611765,1.435294,0.705882,1.441176,1.811127,4.658839,2.695986,0.550474,0.121554,0.313477,0.661703,0.991195,0.287455,0.308562,0.330285,0.328362,0.782117,0.112268,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
13,kept,-45394,170,43,1,14,78,0,10670,0,6240,4420,0.000000,0.252941,10.617647,25.482353,52.905882,0.576471,0.541176,0.258824,0.182353,0.229412,0.141176,0.617647,0.611765,1.435294,0.705882,1.441176,1.811127,4.658839,2.695986,0.550474,0.121554,0.313477,0.661703,0.991195,0.287455,0.308562,0.330285,0.328362,0.782117,0.112268,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
