generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,port_loss_pressure_penalty,survival_infra_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,dry_dock_started_rate,dry_dock_completed_rate,avg_damaged_ships,avg_raid_actions,avg_raid_damage_events,avg_raid_repairs,avg_damaged_raiders_sunk,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,dry_dock_bias,repair_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-138348,360,47,0,10,206,0,29746,0,16480,10280,0.000000,0.130556,10.216667,17.036111,73.583333,0.472222,0.461111,0.077778,0.066667,0.094444,0.069444,0.733333,0.702778,0.911111,0.280556,0.269444,0.036111,5.866667,0.205556,0.127778,0.022222,0.930556,2.250000,2.534325,0.549850,0.606559,3.683556,0.263416,0.658816,0.647500,0.204485,0.229705,0.960860,0.140831,0.892854,0.370062,0.838904,0.987331,0.409693,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
1,learned,-129127,360,53,1,9,192,0,26946,0,15360,9884,0.000000,0.147222,10.383333,19.425000,61.858333,0.455556,0.447222,0.138889,0.111111,0.216667,0.197222,0.772222,0.758333,1.105556,0.275000,0.236111,0.030556,5.847222,0.172222,0.116667,0.022222,0.891667,2.036111,2.260757,0.371533,0.394264,3.668075,0.171221,0.646361,0.420875,0.132916,0.499308,0.860732,0.091540,0.930355,0.550922,0.704346,0.991765,0.616300,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
2,kept,-129127,360,53,1,9,192,0,26946,0,15360,9884,0.000000,0.147222,10.383333,19.425000,61.858333,0.455556,0.447222,0.138889,0.111111,0.216667,0.197222,0.772222,0.758333,1.105556,0.275000,0.236111,0.030556,5.847222,0.172222,0.116667,0.022222,0.891667,2.036111,2.260757,0.371533,0.394264,3.668075,0.171221,0.646361,0.420875,0.132916,0.499308,0.860732,0.091540,0.930355,0.550922,0.704346,0.991765,0.616300,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
3,learned,-125869,360,58,2,9,187,0,26945,0,14960,8852,0.000000,0.161111,10.505556,18.561111,61.800000,0.361111,0.341667,0.088889,0.077778,0.258333,0.236111,0.766667,0.741667,1.050000,0.216667,0.191667,0.038889,5.930556,0.191667,0.119444,0.025000,0.894444,2.025000,2.299701,0.241496,0.468985,3.707956,0.111293,0.770135,0.342602,0.086395,0.674550,0.886570,0.059501,0.776372,0.542892,0.664689,0.990107,0.400595,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
4,learned,-121472,360,63,0,13,174,0,25898,0,13920,7368,0.000000,0.175000,10.738889,20.033333,67.152778,0.311111,0.300000,0.186111,0.172222,0.372222,0.319444,0.783333,0.769444,0.919444,0.197222,0.163889,0.044444,5.916667,0.180556,0.127778,0.002778,0.733333,1.377778,2.559078,0.156973,0.320116,3.972271,0.114135,0.850588,0.222692,0.056157,0.725050,0.847843,0.038676,0.645594,0.560112,0.432048,0.914266,0.287590,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
5,kept,-121472,360,63,0,13,174,0,25898,0,13920,7368,0.000000,0.175000,10.738889,20.033333,67.152778,0.311111,0.300000,0.186111,0.172222,0.372222,0.319444,0.783333,0.769444,0.919444,0.197222,0.163889,0.044444,5.916667,0.180556,0.127778,0.002778,0.733333,1.377778,2.559078,0.156973,0.320116,3.972271,0.114135,0.850588,0.222692,0.056157,0.725050,0.847843,0.038676,0.645594,0.560112,0.432048,0.914266,0.287590,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
6,kept,-121472,360,63,0,13,174,0,25898,0,13920,7368,0.000000,0.175000,10.738889,20.033333,67.152778,0.311111,0.300000,0.186111,0.172222,0.372222,0.319444,0.783333,0.769444,0.919444,0.197222,0.163889,0.044444,5.916667,0.180556,0.127778,0.002778,0.733333,1.377778,2.559078,0.156973,0.320116,3.972271,0.114135,0.850588,0.222692,0.056157,0.725050,0.847843,0.038676,0.645594,0.560112,0.432048,0.914266,0.287590,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
7,learned,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
8,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
9,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
10,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
11,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
12,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
13,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
14,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
15,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
16,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
17,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
18,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
19,kept,-115410,360,65,0,17,162,0,24493,0,12960,7992,0.000000,0.180556,10.658333,19.519444,59.847222,0.338889,0.319444,0.252778,0.213889,0.261111,0.227778,0.705556,0.691667,0.938889,0.152778,0.111111,0.038889,6.244444,0.222222,0.152778,0.019444,0.747222,1.441667,2.444740,0.249434,0.208075,4.077217,0.152473,0.902882,0.261645,0.302333,0.471283,0.630999,0.146927,0.647884,0.656077,0.404277,0.944273,0.237239,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
20,learned,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
21,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
22,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
23,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
24,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
25,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
26,kept,-96252,360,97,0,42,178,384,19248,0,14240,5840,0.000000,0.269444,10.436111,37.669444,67.094444,0.308333,0.277778,0.247222,0.216667,0.227778,0.183333,0.911111,0.858333,4.580556,0.186111,0.147222,0.136111,7.577778,0.352778,0.180556,0.027778,0.530556,0.791667,2.192866,0.162132,0.369768,4.286346,0.347912,0.936873,0.213673,0.363349,0.306334,0.642906,0.412287,0.700011,0.457953,0.262780,0.691801,0.224465,shipyard|fishing_dock|fishing_boat|dry_dock|guard_captain|fort|fire_plans
