generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
0,initial,69475,1000,609,1,596,0.609000,8.420000,44.831000,29.626000,2.829701,3.897648,2.291902,4.678690,0.850563,0.547106,
1,kept,69475,1000,609,1,596,0.609000,8.420000,44.831000,29.626000,2.829701,3.897648,2.291902,4.678690,0.850563,0.547106,
2,learned,74084,1000,625,0,611,0.625000,8.491000,46.349000,28.930000,2.863532,3.820578,2.326356,4.732013,0.802316,0.624912,
3,kept,74084,1000,625,0,611,0.625000,8.491000,46.349000,28.930000,2.863532,3.820578,2.326356,4.732013,0.802316,0.624912,
4,learned,75820,1000,631,0,618,0.631000,8.514000,46.323000,28.113000,2.917504,3.878556,2.241267,4.785610,0.731442,0.699929,
5,kept,75820,1000,631,0,618,0.631000,8.514000,46.323000,28.113000,2.917504,3.878556,2.241267,4.785610,0.731442,0.699929,
6,kept,75820,1000,631,0,618,0.631000,8.514000,46.323000,28.113000,2.917504,3.878556,2.241267,4.785610,0.731442,0.699929,
7,kept,75820,1000,631,0,618,0.631000,8.514000,46.323000,28.113000,2.917504,3.878556,2.241267,4.785610,0.731442,0.699929,
8,kept,75820,1000,631,0,618,0.631000,8.514000,46.323000,28.113000,2.917504,3.878556,2.241267,4.785610,0.731442,0.699929,
9,kept,75820,1000,631,0,618,0.631000,8.514000,46.323000,28.113000,2.917504,3.878556,2.241267,4.785610,0.731442,0.699929,
10,learned,84339,1000,666,0,642,0.666000,8.530000,47.515000,26.046000,2.809348,3.911411,2.192812,4.712034,0.711393,0.759943,
11,kept,84339,1000,666,0,642,0.666000,8.530000,47.515000,26.046000,2.809348,3.911411,2.192812,4.712034,0.711393,0.759943,
12,kept,84339,1000,666,0,642,0.666000,8.530000,47.515000,26.046000,2.809348,3.911411,2.192812,4.712034,0.711393,0.759943,
13,learned,86208,1000,669,0,650,0.669000,8.639000,47.222000,24.424000,2.693823,3.798290,2.122675,4.690394,0.601327,0.807955,
14,learned,88399,1000,681,0,650,0.681000,8.774000,47.150000,23.841000,2.614386,3.790113,2.180843,4.752315,0.533147,0.703104,
15,kept,88399,1000,681,0,650,0.681000,8.774000,47.150000,23.841000,2.614386,3.790113,2.180843,4.752315,0.533147,0.703104,
16,learned,88596,1000,684,0,654,0.684000,8.815000,46.709000,23.683000,2.678480,3.800103,2.212592,4.801852,0.482076,0.684645,
17,kept,88596,1000,684,0,654,0.684000,8.815000,46.709000,23.683000,2.678480,3.800103,2.212592,4.801852,0.482076,0.684645,
18,kept,88596,1000,684,0,654,0.684000,8.815000,46.709000,23.683000,2.678480,3.800103,2.212592,4.801852,0.482076,0.684645,
19,kept,88596,1000,684,0,654,0.684000,8.815000,46.709000,23.683000,2.678480,3.800103,2.212592,4.801852,0.482076,0.684645,
20,kept,88596,1000,684,0,654,0.684000,8.815000,46.709000,23.683000,2.678480,3.800103,2.212592,4.801852,0.482076,0.684645,
21,kept,88596,1000,684,0,654,0.684000,8.815000,46.709000,23.683000,2.678480,3.800103,2.212592,4.801852,0.482076,0.684645,
22,kept,88596,1000,684,0,654,0.684000,8.815000,46.709000,23.683000,2.678480,3.800103,2.212592,4.801852,0.482076,0.684645,
23,kept,88596,1000,684,0,654,0.684000,8.815000,46.709000,23.683000,2.678480,3.800103,2.212592,4.801852,0.482076,0.684645,
24,kept,88596,1000,684,0,654,0.684000,8.815000,46.709000,23.683000,2.678480,3.800103,2.212592,4.801852,0.482076,0.684645,
25,learned,91943,1000,693,0,672,0.693000,8.857000,47.375000,22.532000,2.607078,3.740140,2.133952,4.831306,0.462572,0.747716,
26,learned,93328,1000,699,0,669,0.699000,8.858000,47.660000,22.227000,2.651778,3.815373,2.031659,4.718268,0.417237,0.727012,
27,kept,93328,1000,699,0,669,0.699000,8.858000,47.660000,22.227000,2.651778,3.815373,2.031659,4.718268,0.417237,0.727012,
28,kept,93328,1000,699,0,669,0.699000,8.858000,47.660000,22.227000,2.651778,3.815373,2.031659,4.718268,0.417237,0.727012,
29,kept,93328,1000,699,0,669,0.699000,8.858000,47.660000,22.227000,2.651778,3.815373,2.031659,4.718268,0.417237,0.727012,
30,kept,93328,1000,699,0,669,0.699000,8.858000,47.660000,22.227000,2.651778,3.815373,2.031659,4.718268,0.417237,0.727012,
31,learned,95424,1000,708,1,681,0.708000,8.888000,47.192000,21.173000,2.614323,3.838452,1.912836,4.753904,0.388927,0.651819,
32,learned,98770,1000,718,0,683,0.718000,9.090000,48.034000,20.029000,2.548005,3.886394,1.898173,4.657850,0.311142,0.574969,
33,kept,98770,1000,718,0,683,0.718000,9.090000,48.034000,20.029000,2.548005,3.886394,1.898173,4.657850,0.311142,0.574969,
34,kept,98770,1000,718,0,683,0.718000,9.090000,48.034000,20.029000,2.548005,3.886394,1.898173,4.657850,0.311142,0.574969,
35,kept,98770,1000,718,0,683,0.718000,9.090000,48.034000,20.029000,2.548005,3.886394,1.898173,4.657850,0.311142,0.574969,
36,kept,98770,1000,718,0,683,0.718000,9.090000,48.034000,20.029000,2.548005,3.886394,1.898173,4.657850,0.311142,0.574969,
37,kept,98770,1000,718,0,683,0.718000,9.090000,48.034000,20.029000,2.548005,3.886394,1.898173,4.657850,0.311142,0.574969,
38,kept,98770,1000,718,0,683,0.718000,9.090000,48.034000,20.029000,2.548005,3.886394,1.898173,4.657850,0.311142,0.574969,
39,kept,98770,1000,718,0,683,0.718000,9.090000,48.034000,20.029000,2.548005,3.886394,1.898173,4.657850,0.311142,0.574969,
40,kept,98770,1000,718,0,683,0.718000,9.090000,48.034000,20.029000,2.548005,3.886394,1.898173,4.657850,0.311142,0.574969,
41,learned,104771,1000,744,0,704,0.744000,8.976000,48.991000,18.940000,2.478581,3.786424,1.804901,4.592437,0.306389,0.659975,
42,kept,104771,1000,744,0,704,0.744000,8.976000,48.991000,18.940000,2.478581,3.786424,1.804901,4.592437,0.306389,0.659975,
43,kept,104771,1000,744,0,704,0.744000,8.976000,48.991000,18.940000,2.478581,3.786424,1.804901,4.592437,0.306389,0.659975,
44,kept,104771,1000,744,0,704,0.744000,8.976000,48.991000,18.940000,2.478581,3.786424,1.804901,4.592437,0.306389,0.659975,
45,kept,104771,1000,744,0,704,0.744000,8.976000,48.991000,18.940000,2.478581,3.786424,1.804901,4.592437,0.306389,0.659975,
46,kept,104771,1000,744,0,704,0.744000,8.976000,48.991000,18.940000,2.478581,3.786424,1.804901,4.592437,0.306389,0.659975,
47,learned,105299,1000,749,0,718,0.749000,8.936000,47.744000,18.075000,2.497505,3.893065,1.807037,4.673950,0.295392,0.683970,
48,kept,105299,1000,749,0,718,0.749000,8.936000,47.744000,18.075000,2.497505,3.893065,1.807037,4.673950,0.295392,0.683970,
49,kept,105299,1000,749,0,718,0.749000,8.936000,47.744000,18.075000,2.497505,3.893065,1.807037,4.673950,0.295392,0.683970,
50,kept,105299,1000,749,0,718,0.749000,8.936000,47.744000,18.075000,2.497505,3.893065,1.807037,4.673950,0.295392,0.683970,
51,learned,107739,1000,758,0,720,0.758000,9.174000,48.537000,17.718000,2.459596,3.850402,1.704552,4.738047,0.236313,0.641649,
52,kept,107739,1000,758,0,720,0.758000,9.174000,48.537000,17.718000,2.459596,3.850402,1.704552,4.738047,0.236313,0.641649,
53,kept,107739,1000,758,0,720,0.758000,9.174000,48.537000,17.718000,2.459596,3.850402,1.704552,4.738047,0.236313,0.641649,
54,kept,107739,1000,758,0,720,0.758000,9.174000,48.537000,17.718000,2.459596,3.850402,1.704552,4.738047,0.236313,0.641649,
55,learned,111204,1000,773,1,737,0.773000,9.109000,48.453000,16.594000,2.350083,3.857808,1.814125,4.633227,0.208303,0.679741,
56,kept,111204,1000,773,1,737,0.773000,9.109000,48.453000,16.594000,2.350083,3.857808,1.814125,4.633227,0.208303,0.679741,
57,kept,111204,1000,773,1,737,0.773000,9.109000,48.453000,16.594000,2.350083,3.857808,1.814125,4.633227,0.208303,0.679741,
58,learned,112148,1000,774,0,733,0.774000,9.142000,48.271000,15.478000,2.298433,3.807345,1.814438,4.667834,0.179995,0.713748,
59,kept,112148,1000,774,0,733,0.774000,9.142000,48.271000,15.478000,2.298433,3.807345,1.814438,4.667834,0.179995,0.713748,
60,learned,113177,1000,780,0,748,0.780000,9.043000,47.483000,14.726000,2.378004,3.872702,1.774723,4.588985,0.156106,0.770999,
61,learned,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
62,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
63,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
64,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
65,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
66,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
67,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
68,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
69,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
70,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
71,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
72,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
73,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
74,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
75,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
76,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
77,kept,117734,1000,802,0,759,0.802000,9.038000,48.094000,14.025000,2.304162,3.836707,1.893766,4.637629,0.124885,0.816799,
78,learned,117793,1000,799,1,768,0.799000,9.108000,47.989000,13.646000,2.254719,3.836735,1.899629,4.549151,0.099908,0.853439,
79,kept,117793,1000,799,1,768,0.799000,9.108000,47.989000,13.646000,2.254719,3.836735,1.899629,4.549151,0.099908,0.853439,
80,kept,117793,1000,799,1,768,0.799000,9.108000,47.989000,13.646000,2.254719,3.836735,1.899629,4.549151,0.099908,0.853439,
81,kept,117793,1000,799,1,768,0.799000,9.108000,47.989000,13.646000,2.254719,3.836735,1.899629,4.549151,0.099908,0.853439,
82,kept,117793,1000,799,1,768,0.799000,9.108000,47.989000,13.646000,2.254719,3.836735,1.899629,4.549151,0.099908,0.853439,
83,kept,117793,1000,799,1,768,0.799000,9.108000,47.989000,13.646000,2.254719,3.836735,1.899629,4.549151,0.099908,0.853439,
