generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-58439,1100,206,0,114,0.187273,9.697273,19.724545,60.623636,0.255455,0.206364,0.281818,0.114545,0.286364,0.130000,2.829701,3.897648,2.291902,4.678690,0.850563,0.547106,0.943011,0.284852,0.212292,0.902787,0.951346,
1,kept,-58439,1100,206,0,114,0.187273,9.697273,19.724545,60.623636,0.255455,0.206364,0.281818,0.114545,0.286364,0.130000,2.829701,3.897648,2.291902,4.678690,0.850563,0.547106,0.943011,0.284852,0.212292,0.902787,0.951346,
2,learned,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
3,kept,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
4,kept,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
5,kept,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
6,kept,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
7,kept,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
8,kept,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
9,kept,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
10,kept,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
11,kept,-44404,1100,246,2,127,0.223636,9.986364,22.907273,56.442727,0.285455,0.240909,0.324545,0.142727,0.293636,0.125455,2.768594,4.014730,2.230026,4.672998,0.718101,0.453057,0.957258,0.286116,0.186182,0.771437,0.963510,
12,learned,-36873,1100,276,0,150,0.250909,10.230000,23.521818,54.215455,0.320909,0.265455,0.280000,0.116364,0.252727,0.106364,2.717281,4.058453,2.340744,4.623841,0.637589,0.355578,0.929440,0.214587,0.139637,0.622848,0.972632,
13,learned,-18966,1100,328,0,184,0.298182,10.457273,27.311818,48.808182,0.341818,0.304545,0.224545,0.096364,0.240909,0.128182,2.764870,4.032641,2.362408,4.578888,0.535389,0.347322,0.888020,0.160940,0.104728,0.480477,0.979474,
14,kept,-18966,1100,328,0,184,0.298182,10.457273,27.311818,48.808182,0.341818,0.304545,0.224545,0.096364,0.240909,0.128182,2.764870,4.032641,2.362408,4.578888,0.535389,0.347322,0.888020,0.160940,0.104728,0.480477,0.979474,
15,kept,-18966,1100,328,0,184,0.298182,10.457273,27.311818,48.808182,0.341818,0.304545,0.224545,0.096364,0.240909,0.128182,2.764870,4.032641,2.362408,4.578888,0.535389,0.347322,0.888020,0.160940,0.104728,0.480477,0.979474,
